TimeGenerated,UserPrincipalName,IPAddress,Location,ResultType,AppDisplayName,DeviceDetail_OperatingSystem,IsInteractive,CorrelationId
2026-08-27T01:00:47Z,user4@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,ba8bd078-2cc4-4645-8017-11d3e203160f
2026-08-27T01:00:49Z,user9@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,1cc977f2-f0d3-4691-b3de-427f2da748ac
2026-08-27T01:05:11Z,user6@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,5b82d3dc-a895-47cb-9926-7c8512d43cd4
2026-08-27T01:05:12Z,user1@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,9f456558-1d67-477a-b636-9cef2c3cbc2e
2026-08-27T01:06:41Z,user8@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,08cc3aa9-411b-4263-a292-718e6df65b5a
2026-08-27T01:09:24Z,user8@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,323927ac-7ebd-4638-ae09-25515d81b36b
2026-08-27T01:11:06Z,user7@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,aadb2e94-01bc-4d28-9e9c-639b0abe150e
2026-08-27T01:11:26Z,user8@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,da751e6a-d7bd-4cc6-ad0a-ee79377f91a1
2026-08-27T01:11:58Z,user6@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,d12d496f-f4b8-44df-ae34-867c39bddc3f
2026-08-27T01:14:09Z,user2@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,19cf784d-4f29-4c08-970b-f538931f4efe
2026-08-27T01:20:29Z,user8@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,d5fdd832-3592-4865-b293-a8a451065bb6
2026-08-27T01:21:08Z,user8@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,eb70f63d-7cc2-4cb7-af19-5d0b49fc694a
2026-08-27T01:21:44Z,user8@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,b4c0e8ce-9017-4d2a-b52c-b9e786cac1ce
2026-08-27T01:25:16Z,user1@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,aba2b7c5-9f7e-41ad-916d-bd0276d82970
2026-08-27T01:29:41Z,user8@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,ab483740-880b-45a6-8489-a7bd7ddb3724
2026-08-27T01:29:52Z,user3@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,cf578482-7dba-42a5-81c9-57b8c66814ef
2026-08-27T01:30:14Z,user8@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,4384c558-134b-4ee6-a360-7878ce36e1b6
2026-08-27T01:33:56Z,user6@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,dc2de152-fba5-43a6-a4ab-e1c0e2597416
2026-08-27T01:39:51Z,user8@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,da02e585-b727-46f2-9ae7-fa5b33338858
2026-08-27T01:40:19Z,user8@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,e74da605-4b98-48a0-a8b9-b4ccf3294962
2026-08-27T01:41:08Z,user7@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,113a62c1-97b0-445d-86c0-9f419c22daa3
2026-08-27T01:42:13Z,user6@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,7ab42b0e-6cc9-4426-9364-29114083c1a4
2026-08-27T01:47:10Z,user6@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,1a94415f-f73d-4482-b695-f597e9a33bd5
2026-08-27T01:50:57Z,user3@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,60ff15c2-921f-4e82-a3bb-64bb2ad744eb
2026-08-27T01:53:42Z,user7@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,a8b884e8-6afa-4a25-b1e5-250d642c8956
2026-08-27T01:57:59Z,user10@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,2b255786-562a-4d9c-85c4-8f614c50089c
2026-08-27T02:00:41Z,user8@company.com,154.113.20.10,NG,50126,Office 365 Exchange Online,Windows,False,3c7c04b9-1806-416e-ae72-90be41ac6e93
2026-08-27T02:00:54Z,user3@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,ea4f415a-56d5-417c-8fc3-5673a2944316
2026-08-27T02:02:22Z,user3@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,5a826be4-2424-4303-bddd-fef6981af881
2026-08-27T02:03:43Z,user10@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,a13dfe22-9501-4295-8762-7c1985589501
2026-08-27T02:05:11Z,user7@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,21f3befb-ef2e-400e-bf43-1e2a768474cd
2026-08-27T02:06:54Z,user1@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,269930c2-248f-48e8-9519-22bc3516f49c
2026-08-27T02:13:57Z,user4@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,82df6942-c1d2-4cf7-898c-33135f4a3f07
2026-08-27T02:23:02Z,user10@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,9d080c07-f396-4f05-a4e1-f91e749f5315
2026-08-27T02:24:22Z,user5@company.com,154.113.20.14,NG,50126,Office 365 Exchange Online,Windows,False,e02957eb-1b8c-4af8-8659-075486025e9f
